votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area_in_square_miles,tot_male,tot_female,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_male,ethnic_female
51094,0.040999999999999995,52149.0,0.5438233965569966,0.099,0.03553985033,0.044532588119999994,0.010582531071542783,-0.1155896798556293,-0.40696394931041635,0.4161900654146157,0.501054201,0,Fond du Lac County,WI,GTE Bachelor's,MAINLINE CHRISTIAN,0.232640012,0.306492895,0.37960048300000004,BLACK ,BLACK 
13769,0.07,31086.0,-1.3411178378472683,0.298,0.09099755256,0.1277810827,-0.20024183339332519,-0.1993440277076822,-0.34848178599677576,0.3575364004413042,0.38110659,0,Whitley County,KY,Some College,PENTECOSTAL / CHARISMATIC,0.193694816,0.36103960700000004,0.364167289,MULTI ,BLACK 
12014,0.047,45195.0,-0.7091225671974009,0.19,0.09142992745,0.1312772926,-0.21167495661927466,-0.192677001951063,-0.254716695711403,0.26349633967445907,0.379205858,0,Hardin County,OH,GTE Bachelor's,CATHOLIC,0.195189698,0.388769649,0.33631084,MULTI ,BLACK 
3464,0.061,36466.0,-0.5332858802454405,0.171,0.07069672131,0.11065235339999999,-0.2912723669073393,-0.20562717066515412,0.3006565605554874,-0.2935055744565151,0.497272466,0,Tucker County,WV,GTE Bachelor's,CATHOLIC,0.263996554,0.245478037,0.360034452,MULTI ,BLACK 
12598,0.063,37477.0,-0.24665279633072948,0.166,0.0824197085,0.1289655172,-0.23507468493167477,0.018826751693412382,0.7350605809870445,-0.7291835048505715,0.515023916,0,Manistee County,MI,GTE Bachelor's,MAINLINE CHRISTIAN,0.291688812,0.240546176,0.336086014,BLACK ,NATIVE AMERICAN 
21007,0.040999999999999995,50753.0,-0.027864974480234436,0.17,0.08836494789999999,0.17609657210000002,-0.16759082682936047,-0.19369024362500278,-0.3081812136364083,0.3171176447810318,0.462851981,0,Logan County,OH,GTE Bachelor's,CATHOLIC,0.227471027,0.314149738,0.36727184599999996,BLACK ,BLACK 
18622,0.076,29749.0,-1.1565156131609131,0.29100000000000004,0.09665427509,0.11214298230000001,-0.1634060290014773,-0.13908226258439796,-0.24505411206810634,0.2538054200559233,0.401587199,0,Washington Parish,LA,LT High School,CATHOLIC,0.219059326,0.32065299399999997,0.368312092,BLACK ,BLACK 
2820,0.086,30699.0,-1.7537993543825772,0.35600000000000004,0.1931273308,0.3835993396,-0.287767998039257,-0.2496196171579105,-1.2882572729658752,1.3000678226666555,0.415929204,0,Alexander County,IL,LT High School,CATHOLIC,0.25368731499999997,0.314601771,0.33480825999999997,BLACK ,BLACK 
65944,0.063,59492.0,0.21213544868749612,0.133,0.05438020732,0.07244264506999999,0.22847632881359045,-0.15439056849325097,-0.2895432392320929,0.2984250136512795,0.396305222,1,Monroe County,PA,GTE Bachelor's,MAINLINE CHRISTIAN,0.224607414,0.30543219,0.375890191,BLACK ,BLACK 
1820,0.065,27882.0,-0.6072670187237329,0.285,0.05645612074,0.08791208791,-0.302826881215319,0.005717284674913199,0.8520927874314107,-0.8465589136750028,0.5078125,1,Costilla County,CO,LT High School,MORMON,0.308314734,0.252790179,0.290178571,NATIVE AMERICAN ,NATIVE AMERICAN 
1322,0.039,60810.0,0.9712310164860887,0.106,0.05049005049,0.05668449198,-0.3035360606945481,-0.07212213433313555,0.45740202549072007,-0.45071070274651465,0.37041188,0,Lipscomb County,TX,GTE Bachelor's,MAINLINE CHRISTIAN,0.20790137200000003,0.362846736,0.36760997500000003,MULTI ,NATIVE AMERICAN 
6468,0.059000000000000004,31386.0,-1.4662897166944266,0.272,0.118535365,0.181428081,-0.24162341435698811,-0.16489119934611657,0.16573427628189658,-0.15818762431884903,0.293946555,0,Adair County,OK,LT High School,PENTECOSTAL / CHARISMATIC,0.19269223800000002,0.352117798,0.373659335,NATIVE AMERICAN ,WHITE 
1748,0.044000000000000004,44046.0,-1.3547920767129245,0.141,0.0506084605,0.05012376238,-0.297447339580086,-0.000672927634701784,0.4816312387646115,-0.4750109693134756,0.329998112,0,Lincoln County,ID,LT High School,CATHOLIC,0.177647726,0.389465735,0.365867472,MULTI ,NATIVE AMERICAN 
319922,0.06,55803.0,0.5285713608991496,0.18100000000000002,0.07938929479,0.11054842349999999,4.2182370219001255,-0.056001668216562765,-0.5068080292521027,0.5163269427572313,0.213091682,1,Sacramento County,CA,High School,OTHER,0.185109253,0.334333776,0.414447143,ASIAN ,BLACK 
